Id	Company_Name	Address	Error
1040593	STARR TEXTILE SERVICES OF LOUISIANA, L.L	312 Time Saver Ave ,New Orleans	name 'url' is not defined
1040596	STC ADDICTION WELLNESS CENTER, INC.	150 Cora Dr ,Baton Rouge	name 'url' is not defined
1040600	STERLING AUTOMOTIVE WEST, LLC	414 W Fred Ruth Zigler Meml Dr St ,Jennings	name 'url' is not defined
1040601	STERLING FORD LINCOLN, LLC	5524 I 49 N Service Rd ,Opelousas	name 'url' is not defined
1040607	STOCKWELL, SIEVERT, VICCELLIO, CLEMENTS, AND SHADDOCK, LLP	127 W. Broad St ,Lake Charles	name 'url' is not defined
1040610	STONE INSURANCE INC	111 Veterans Memorial Blvd Ste 1420 ,Metairie	name 'url' is not defined
1040613	STONETRUST COMMERCIAL INSURANCE COMPANY	5615 Corporate Blvd Suite 700 ,Baton Rouge	name 'url' is not defined
1040615	STRANCO SOLID WASTE MGMT CO LLC	70459 Highway 59 ,Abita Springs	name 'url' is not defined
1040616	STRANCO, L.L.C.	70459 Highway 59 ,Abita Springs	name 'url' is not defined
1040618	STRIC-LAN COMPANIES, L.L.C.	104 Sable Dr ,Duson	name 'url' is not defined
1040620	STUART & COMPANY GENERAL CONTRACTORS, LLC	4320 S Jeffrey Dr ,Baton Rouge	name 'url' is not defined
1040626	SULLIVAN PROCESS CONTROLS LLC	450 Covington Rd ,Haughton	name 'url' is not defined
1040631	SUMMIT APARTMENT MANAGEMENT COMPANY INC	2105 Rue Simone ,Hammond	name 'url' is not defined
1040632	SUN DRILLING PRODUCTS CORPORATION	503 Main Street ,Belle Chasse	name 'url' is not defined
1040635	SUNRISE HEALTHCARE MANAGEMENT CO, LLC	10606 Timberlake Ave ,Baton Rouge	name 'url' is not defined
1040640	SUPERIOR OFFICE PRODUCTS INC	533 Highlandia Dr Ste C ,Baton Rouge	name 'url' is not defined
1040643	SUPERIOR SERVICE CO., INC.	1599 Old Spanish Trail ,Cade	name 'url' is not defined
1040644	SUPERIOR SHIPYARD AND FABRICAT	20987 Highway 1 ,Golden Meadow	name 'url' is not defined
1040648	SUPREME HOME HEALTH SERVICE INC	1110 Jackson St ,Monroe	name 'url' is not defined
1040649	SUPREME IMPORTS, LLC	1415 Morrison Blvd ,Hammond	name 'url' is not defined
1040665	TADLOCK PIPE & RENTALS, LLC	6844 Highway 90 ,Lake Charles	name 'url' is not defined
1040674	TASCH, LLC	1509 Bridge City Ave ,Bridge City	name 'url' is not defined
1040683	TECHNOLOGY ASSOCIATES, INC.	2021 Lakeshore Dr Ste 414 ,New Orleans	name 'url' is not defined
1040687	TERMINIX PEST CONTROL INC.	6610 W Main St. ,Houma	name 'url' is not defined
1040698	THE BETA GROUP ENGINEERING & CONSTRUCTION	1428 1/2 Claire Avenue ,Gretna	name 'url' is not defined
1040700	THE BROUSSARD GROUP, L.L.C.	127 W. Broad Street, Suite 800 ,Lake Charles	name 'url' is not defined
1040704	THE CONGREGATION OF ST. GENEVIEVE CATHOLIC CHURCH, THIBODAUX	815 Barbier Ave ,Thibodaux	name 'url' is not defined
1040712	THE FAMILY DOCTOR CLINIC OF THIBODAUX AMC	804 S Acadia Rd ,Thibodaux	name 'url' is not defined
1040714	THE FORTIS COMPANY, LLC	107 Spring St ,Shreveport	name 'url' is not defined
1040715	THE FRANCIS SOUTHERN TABLE AND BAR LLC	6747 Us Highway 61 ,Saint Francisville	name 'url' is not defined
1040720	THE LITTLE RED SCHOOLHOUSE OF METAIRIE, INC	2055 Metairie Rd ,Metairie	name 'url' is not defined
1040722	THE LOUISIANA ASSOCIATION FOR THE BLIND	1750 Claiborne Ave ,Shreveport	name 'url' is not defined
1040726	THE MIGUES DELOACH COMPANY LLC	2712 Davis Dr ,Pineville	name 'url' is not defined
1040731	THE NEWTRON GROUP, L.L.C.	8183 W El Cajon Dr 0.0 ,Baton Rouge	name 'url' is not defined
1040734	THE PLANT GALLERY, INC.	9401 Airline Hwy ,New Orleans	name 'url' is not defined
1040739	THE ROMAN CATHOLIC CHURCH OF THE ARCHDIOCESE OF NEW ORLEANS	5501 Westbank Expy. ,Marrero	name 'url' is not defined
1040742	THE RUNNELS SCHOOL, INC.	17255 South Harrell'S Ferry Road ,Baton Rouge	name 'url' is not defined
1040747	THE STEEG LAW FIRM LLC	201 Saint Charles Ave Ste 3201 ,New Orleans	name 'url' is not defined
1040748	THE SULZER GROUP, LLC	650 Poydras Street ,New Orleans	name 'url' is not defined
1040750	THE TOWNSLEY LAW FIRM, LLC	3102 Enterprise Blvd ,Lake Charles	name 'url' is not defined
1040752	THE VISITATION OF OUR LADY ROMAN CATHOLIC CHURCH, MARRERO, L	3520 Ames Ave ,Marrero	name 'url' is not defined
1040755	THE WELLSPRING ALLIANCE FOR FAMILIES INC	1515 Jackson St ,Monroe	name 'url' is not defined
1040757	THE YMCA OF BATON ROUGE	350 Foster Dr ,Baton Rouge	name 'url' is not defined
1040758	THIBODAUX HEBERT DESHOTELS LEBLANC LLC	935 Camellia Blvd Ste 200 ,Lafayette	name 'url' is not defined
1040760	THOMAS PUMP & MACHINERY, INC	120 Industrial Dr ,Slidell	name 'url' is not defined
1040774	THRIFTY LIQUOR HOLDING COMPANY, LLC	3238 Barksdale Blvd ,Bossier City	name 'url' is not defined
1040778	TIMMONS INTERNATIONAL, LLC	763 Oneal Lane Po Box 40017 ,Baton Rouge	name 'url' is not defined
1040781	TIRE TOWN AUTO SERVICE LLC	4020 Old Gentilly Road ,New Orleans	name 'url' is not defined
1040782	TITAN DELTA LLC	710 Piety Street ,New Orleans	name 'url' is not defined
1040786	TLC SERVICES INC	1226 Montegut Street ,New Orleans	name 'url' is not defined
1040795	TOM SANDERS BUILDING MART, LLC	431 Downing Pines Rd ,West Monroe	name 'url' is not defined
1040796	TONY'S SEAFOOD, LTD	5215 Plank Road ,Baton Rouge	name 'url' is not defined
1040811	TRAFFIC CONTROL PRODUCTS OF LA, INC	2230 Tower St ,Denham Springs	name 'url' is not defined
1040812	TRAFFIC SOLUTIONS LOUISIANA, LLC	2950 Saint Anthony Ave ,New Orleans	name 'url' is not defined
1040814	TRANSPORTATION CONSULTANTS INC.	3900 France Rd ,New Orleans	name 'url' is not defined
1040815	TRANSVAC, LLC	6619 Rice Cove Rd ,Abbeville	name 'url' is not defined
1040817	TRECON LLC	5400 Firestation Road ,Zachary	name 'url' is not defined
1040822	TRI-STATE REFRIGERATION, INC.	7387 E Industrial Dr ,Baton Rouge	name 'url' is not defined
1040825	TRINITY CATERING, INC	219 Corporate Dr ,Houma	name 'url' is not defined
1040832	TRUCK & TRANSPORTATION EQUIPMENT CO., INC.	260 Industrial Ave 0.0 ,New Orleans	name 'url' is not defined
1040833	TUDOR, INC. (OF DELAWARE)	1439 Centre Ct Suite 400 ,Alexandria	name 'url' is not defined
1040834	TUNICA BILOXI TRIBE OF LOUISIANA	150 Melacon Road ,Marksville	name 'url' is not defined
1040835	TURBOSQUID INC	935 Gravier St,  Suite 1600 ,New Orleans	name 'url' is not defined
1040837	TURNKEY OFFSHORE PROJECT SERVICES L.L.C.	8506 Shrimpers Row ,Dulac	name 'url' is not defined
1040838	TWA ERECTORS, LLC	6814 Bicentennial Pl ,Baton Rouge	name 'url' is not defined
1040841	TY ENERGY SERVICES, LLC	1881 Greta Ln ,Ville Platte	name 'url' is not defined
1040846	UNISTAR PLASTICS, LLC	5821 Citrus Blvd Ste B ,New Orleans	name 'url' is not defined
1040847	UNITED APPAREL LIQUIDATORS, INC	3909 Esplanade Ave ,Metairie	name 'url' is not defined
1040850	UNITED MEDICAL PROVIDERS INC	8010 Crowder Blvd ,New Orleans	name 'url' is not defined
1040854	UNITY OF GREATER NEW ORLEANS, INC.	2475 Canal St ,New Orleans	name 'url' is not defined
1040855	UNIVERSAL DATA, INC.	1312 Distributors Row ,New Orleans	name 'url' is not defined
1040859	UNIVERSITY VETERINARY HOSPITAL, LLC	7700 E Kings Hwy ,Shreveport	name 'url' is not defined
1040860	UPPERLINE ENERGY PARTNERS, LLC	4000 Bienville St ,New Orleans	name 'url' is not defined
1040861	URBAN LEAGUE OF LOUISIANA	4640 Carrollton Ave ,New Orleans	name 'url' is not defined
1040865	US INSPECTION & NDT LLC	3 Poydras Unit 5H ,New Orleans	name 'url' is not defined
1040867	V. J. ROLLO SECURITY SERVICES, INC.	494 West 5Th St ,La Place	name 'url' is not defined
1040870	VALENTINE MECHANICAL SERVICES, L.L.C.	32964 Paille Ln ,Springfield	name 'url' is not defined
1040872	VAN-TROW LLC	2015 Louisville Ave ,Monroe	name 'url' is not defined
1040873	VANDEBILT CATHOLIC HIGH SCHOOL	209 S Hollywood Rd ,Houma	name 'url' is not defined
1040874	VANOIL COMPLETION SYSTEM, LLC	104 Boyce St Suite B ,Broussard	name 'url' is not defined
1040877	VARUSO VENTURES, LLC	651 Perrilloux Road ,Madisonville	name 'url' is not defined
1040879	VERGES ROME ARCHITECTS APAC	320 N Carrollton Ave Ste 100 ,New Orleans	name 'url' is not defined
1040880	VERMA SYSTEMS INC	3265 Mccarroll Dr ,Baton Rouge	name 'url' is not defined
1040881	VERMILION HEALTH CARE CENTER, INC	14008 Cheneau Rd ,Kaplan	name 'url' is not defined
1040888	VINCENT PIAZZA JR. & SONS SEAFOOD INC.	1201 Sams Ave ,Harahan	name 'url' is not defined
1040890	VISION PRODUCTION CHEMICALS LLC	8910 Cordell Rd ,Abbeville	name 'url' is not defined
1040891	VITAL HEALTH SERVICES, INC.	3300 W Esplanade Ave ,Metairie	name 'url' is not defined
1040892	VITALSLEEP, LLC	8835 Line Ave Ste 500 ,Shreveport	name 'url' is not defined
1040907	WALKER AUTOMOTIVE, INC	1616 Mac Arthur Drive ,Alexandria	name 'url' is not defined
1040909	WALKER COLISEUM MOTORS, L.L.C	6677 Coliseum Blvd ,Alexandria	name 'url' is not defined
1040915	WALPOLE TIRE SERVICE LLC	511 E Georgia Ave ,Ruston	name 'url' is not defined
1040921	WATSON, BLANCHE, WILSON, & POSNER, LLP	505 North Blvd ,Baton Rouge	name 'url' is not defined
1040924	WEBSTER MACHINE WORKS, L.L.C.	1408 Commerce St ,Minden	name 'url' is not defined
1040925	WECHEM, INC.	5734 Susitna Drive ,New Orleans	name 'url' is not defined
1040930	WELLHEAD VALVE AND SERVICE LLC	920 Young St ,Broussard	name 'url' is not defined
1040932	WELLS-KEOWN ASSOCIATES INC	301 Plauche St ,New Orleans	name 'url' is not defined
1040933	WELLSITE FISHING & RENTAL SERVICES, LLC	100 Dairy Lane ,Broussard	name 'url' is not defined
1040936	WEST MONROE EATS, LLC	205 Basic Dr ,West Monroe	name 'url' is not defined
1040939	WHITE PROPERTY MANAGEMENT, INC	5415 Jackson St ,Alexandria	name 'url' is not defined
1040941	WHITLIEJO SPECIALTY COMPANY, LLC	1311 Smede Highway ,Broussard	name 'url' is not defined
1040947	WILCO MANUFACTURING, LLC	1304 Macarthur Ave ,Harvey	name 'url' is not defined
1040949	WILL DRILL RESOURCES, INC	416 Travis Street ,Shreveport	name 'url' is not defined
1040973	WRAY FORD, INC.	2851 Benton Road, ,Bossier City	name 'url' is not defined
1040976	WT CONSTRUCTION INC	9203 Amber Dr ,Baton Rouge	name 'url' is not defined
1040982	YMCA OF NORTHWEST LOUISIANA	400 Mcneil St ,Shreveport	name 'url' is not defined
1040992	ZINSEL GLASS AND MIRROR, L.L.C.	242 Villemar Pl ,Gretna	name 'url' is not defined
1040993	ZUPPARDO'S ECONOMICAL SUPERMARKETS LLC	5010 Veterans Blvd. 0.0 ,Metairie	name 'url' is not defined
1040997	1803 CAPITAL, LLC	2600 Belle Chasse Hwy Ste 206 ,Terrytown	name 'url' is not defined
1041018	426 BOURBON LLC	311 Decatur St ,New Orleans	name 'url' is not defined
1041022	4LP, LLC	29092 Krentel Rd ,Lacombe	name 'url' is not defined
1041025	5116 MAGAZINE STREET PREPARATORY HIGH SCHOOL	5116 Magazine St ,New Orleans	name 'url' is not defined
1041028	527 CAUSEWAY, LLC	527 N. Causeway Blvd ,Mandeville	name 'url' is not defined
1041030	717 CONTI, LLC	717 Conti St ,New Orleans	name 'url' is not defined
1041031	721 BOURBON, INC.	721 Bourbon Street ,New Orleans	name 'url' is not defined
1041034	A & A ENTERPRISES, INC.	84 23Rd St ,Kenner	name 'url' is not defined
1041035	A & A MECHANICAL, LLC	3106 Paris Road ,Chalmette	name 'url' is not defined
1041036	A & B GROUP, INC	1401 E Napoleon St ,Sulphur	name 'url' is not defined
1041038	A & E OFFICE MACHINES, INC	1005 Clothilde St ,Morgan City	name 'url' is not defined
1041043	A & W SHEET METAL AND INDUSTRIAL CONTRACTORS, LLC	602 Blazier St ,West Monroe	name 'url' is not defined
1041046	A J LABOURDETTE INC	5417 Powell St ,Harahan	name 'url' is not defined
1041049	A STEP FORWARD, INC.	14918 Jefferson Hwy ,Baton Rouge	name 'url' is not defined
1041053	A&H ARMATURE WORKS INC	1330 Westbank Expy ,Westwego	name 'url' is not defined
1041054	A-1 ELEVATOR SERVICE LLC	1500 Mehle Ave ,Arabi	name 'url' is not defined
1041057	A-BEAR REFRIGERATION INC.	5740 Heebe St ,Harahan	name 'url' is not defined
1041059	A-PRO INDUSTRIES, LLC	Brush Rd ,Broussard	name 'url' is not defined
1041060	A. H. DEVENEY & COMPANY, INC.	6653 Langley Drive ,Baton Rouge	name 'url' is not defined
1041065	AAA REFRIGERATION COMPANY INC	311 Zachary Dr ,Scott	name 'url' is not defined
1041068	AARON & GIANNA PLC	201 St Charles Avenue Suite 3800 ,New Orleans	name 'url' is not defined
1041070	ABC SHREVEPORT LLC	4700 Line Ave, Ste 111 ,Shreveport	name 'url' is not defined
1041071	ABELL & SON INC	220 S. Adams Street ,Welsh	name 'url' is not defined
1041074	ABLE SPRING & ALIGNMENT, INC	11212 Cedar Park Ave, ,Baton Rouge	name 'url' is not defined
1041077	ABOVE AND BEYOND HOME CARE, INC	3516 Kirkman St ,Lake Charles	name 'url' is not defined
1041081	ACADIA COACH LINES INC	2433 Connecticut Ave ,Kenner	name 'url' is not defined
1041086	ACADIAN CARPET CENTER, INC.	5140 Lapalco Blvd ,Marrero	name 'url' is not defined
1041091	ACADIAN REDI MIX LLC	7720 Johnston St ,Maurice	name 'url' is not defined
1041092	ACADIANA CENTER, LLC	2501 W Pinhook Rd ,Lafayette	name 'url' is not defined
1041093	ACADIANA CHRISTIAN SCHOOL	655 Hwy 96 ,Broussard	name 'url' is not defined
1041098	ACADIANA MEDICINE CLINIC	A Professional Medical Corporation 1200 Hospital Dr Suite 4 ,Opelousas	name 'url' is not defined
1041105	ACCEL PROTECTIVE SERVICES INC	4500 York Street Ste 200 ,Metairie	name 'url' is not defined
1041107	ACCENT OPTICAL, INC.	1004 W Highway 30 ,Gonzales	name 'url' is not defined
1041121	ACER, LLC	115 Christian Ln ,Slidell	name 'url' is not defined
1041123	ACME MACHINE AND WELDING, L.L.C.	73526 Bollfield Dr ,Covington	name 'url' is not defined
1041130	ACTION REHAB AND SUPPLY, INC.	1443 Delplaza Dr. Suite 6 ,Baton Rouge	name 'url' is not defined
1041131	ADAMS HOEFER HOLWADEL LLC	400 Poydras St Ste 2450 ,New Orleans	name 'url' is not defined
1041132	ADEETA CORPORATE STAFFING, LLC	701 Poydras St ,New Orleans	name 'url' is not defined
1041140	ADSOURCE, LLC	131 State St ,Lake Charles	name 'url' is not defined
1041142	ADVANCED AIR CONDITIONING & HEATING, INC	1646 Benton Rd ,Bossier City	name 'url' is not defined
1041145	ADVANCED CLINICAL LABORATORY	1405 Airline Dr ,Metairie	name 'url' is not defined
1041146	ADVANCED E-LINE SOLUTIONS	1100 Garber Rd ,Broussard	name 'url' is not defined
1041147	ADVANCED ENERGY SERVICES INC	Po Box 494 ,Broussard	name 'url' is not defined
1041158	ADVANCED TIMBER SERVICES INC	619 Ibis Ct ,Shreveport	name 'url' is not defined
1041162	ADVANTAGE RELIABILITY SERVICES, INC.	1000 Chinaberry Dr. Ste 603 ,Bossier City	name 'url' is not defined
1041164	AFFILIATED BLIND OF LA TRAINING CTR INC	409 West Saint Mary Blvd ,Lafayette	name 'url' is not defined
1041172	AGAVE YOUNGSVILLE, LA	2810 E. Milton St. ,Youngsville	name 'url' is not defined
1041173	AGILIFY, LLC	8011 Settlers Cir ,Baton Rouge	name 'url' is not defined
1041174	AGILUS HEALTH, INC.	1305 Texas Ave ,Alexandria	name 'url' is not defined
1041176	AGM BENEFIT SOLUTIONS, LLC	3975 Oneal Ln Ste B ,Baton Rouge	name 'url' is not defined
1041177	AGRILECTRIC POWER PARTNERS	5667 Bankers Ave ,Baton Rouge	name 'url' is not defined
1041179	AIM TECHNOLOGIES LLC	P.O. Box 1352 ,Madisonville	name 'url' is not defined
1041180	AIR  COMPRESSOR ENERGY SYSTEMS, INC.	10151 South Perdue ,Baton Rouge	name 'url' is not defined
1041182	AIR CONDITIONING AMBULANCE INC.	20 Vets Memorial Blvd Ste 101 ,Kenner	name 'url' is not defined
1041185	AIR SERVICE PROFESSIONALS INC	6611 Cypress St ,West Monroe	name 'url' is not defined
1041186	AIR SOURCE ONE COOLING & HEATING INC	535 Ole Colony Rd ,Lafayette	name 'url' is not defined
1041188	AIR SYSTEMS, L.L.C.	9720 St. Vincent Avenue ,Shreveport	name 'url' is not defined
1041195	AIRPRO SERVICES, INC.	176 Hickory Ave ,New Orleans	name 'url' is not defined
1041196	AIT MACHINE, LLC	209 Venture Blvd ,Houma	name 'url' is not defined
1041198	AJ DOHMANN CHEVROLET CADILLAC, INC.	800 Robinson Rd 0.0 ,Berwick	name 'url' is not defined
1041200	AJ&#X2019;S PRODUCE CO	3162 Chartres Street ,New Orleans	name 'url' is not defined
1041201	AJUBITA LEFTWICH AND SALZER LLC	1100 Poydras St Ste 1500 ,New Orleans	name 'url' is not defined
1041203	AL J. BOURGEOIS PLUMBING AND HEATING, INC.	5612 Crawford Street ,Harahan	name 'url' is not defined
1041205	ALBASHA GREEK & LEBANESE, INC.	5454 Bluebonnet Blvd ,Baton Rouge	name 'url' is not defined
1041214	ALFARO BROS CONCRETE CONSTRUCTION, LLC	Pobox 1848, ,Gonzales	name 'url' is not defined
1041216	ALFORTISH ENTERPRISES, LLC	1100 Wright Avenue ,Gretna	name 'url' is not defined
1041218	ALL ABOUT HEALTHY FOODS HOLDINGS LLC	10380 Perkins Rd Unit 82452 ,Baton Rouge	name 'url' is not defined
1041222	ALL AMERICAN HEALTHCARE LLC	7015 Highway 190 East Service Rd #201 ,Covington	name 'url' is not defined
1041225	ALL INDUSTRIAL MEDICAL SERVICES LLC	855 Belanger St ,Houma	name 'url' is not defined
1041226	ALL KARE ALTERNATIVE,INC	3974 Convention Street, ,Baton Rouge	name 'url' is not defined
1041227	ALL OUT COMMUNITY CARE SERVICES LLC	7612 Picardy Ave Suite K ,Baton Rouge	name 'url' is not defined
1041230	ALL SCRAP METALS, LLC	2465 Destrehan Ave ,Harvey	name 'url' is not defined
1041231	ALL SEASONS NURSERY & LANDSCAPING, INC.	2974 Johnston St ,Lafayette	name 'url' is not defined
1041233	ALL STAR LANES BATON ROUGE, LLC	9829 Airline Hwy ,Baton Rouge	name 'url' is not defined
1041234	ALL STAR MAID SERVICE OF LOUISIANA, LLC	620 Oak Harbor Blvd ,Slidell	name 'url' is not defined
1041235	ALL TRUCK PARTS &AMP; EQUIPMENT CO., LLC	15959 Florida Blvd ,Baton Rouge	name 'url' is not defined
1041236	ALLAN BERGER & ASSOCIATES, PLC	4173 Canal St ,New Orleans	name 'url' is not defined
1041240	ALLEN'S TV CABLE SERVICES INC	800 Victor Ii Blvd ,Morgan City	name 'url' is not defined
1041241	ALLEN, GREEN & WILLIAMSON LLP	2441 Tower Dr ,Monroe	name 'url' is not defined
1041243	ALLIANCE CONSTRUCTION SERVICES LLC	9525 Pleasant Hills Dr ,Shreveport	name 'url' is not defined
1041245	ALLIANCE INSURANCE AGENCY SERVICES, LLC	4444 York St ,Metairie	name 'url' is not defined
1041248	ALLIED BEARING AND SUPPLY INC	5605 Jensen ,Harahan	name 'url' is not defined
1041258	ALPHA ONE IMAGING, LLC	8595 United Plaza Blvd ,Baton Rouge	name 'url' is not defined
1041259	ALPHA STAFFING, INC.	P O Box 12671 ,Alexandria	name 'url' is not defined
1041262	ALTA MAX  L.L.C.	26 Harbor Cir ,New Orleans	name 'url' is not defined
1041264	ALUMA MARINE AND FABRICATION LLC	1901 A Destrehan Ave ,Harvey	name 'url' is not defined
1041266	ALVENDIA, KELLY AND DEMAREST	909 Poydras St ,New Orleans	name 'url' is not defined
1041267	ALVIN FAIRBURN & ASSOCIATES LLC	1289 Del Este Ave ,Denham Springs	name 'url' is not defined
1041269	AMBULATORY SURGERY CENTER OF OPELOUSAS, L.L.C.	1207 N. Causeway Blvd ,Metairie	name 'url' is not defined
1041276	AMERICAN BUILDING PRODUCTS LLC	5600 Jefferson Hwy Bldg W2 Ste 248 ,New Orleans	name 'url' is not defined
1041288	AMERICAN RIGGING & SUPPLY COMPANY LLC	555 Choctaw Drive ,Baton Rouge	name 'url' is not defined
1041291	AMERICAN SPRINKLER CO., INC	5600 Jefferson Hwy ,New Orleans	name 'url' is not defined
1041300	AMITE PHYSICAL THERAPY INC	Po Box 398 216 North Second Street ,Amite	name 'url' is not defined
1041302	AMKO FENCE & STEEL COMPANY LLC	1329 N Coolidge Ave ,Gonzales	name 'url' is not defined
1041304	AMTEK OF LOUISIANA, INC	1375 Rushmore St ,Baton Rouge	name 'url' is not defined
1041305	ANATOMIX PHYSICAL THERAPY, INC.	1100 C M Fagan Dr ,Hammond	name 'url' is not defined
1041307	ANDERSEN DESIGN BUILD, LCC	307 Iona Street ,Metairie	name 'url' is not defined
1041310	ANDRE ORAN LEGER INC.	139 Tissington St ,Lafayette	name 'url' is not defined
1041312	ANDRUS, BOUDREAUX, LANDRY & COUSSAN, A PROFESSIONAL LAW CORP	1301 Camellia Blvd ,Lafayette	name 'url' is not defined
1041315	ANGELICO CONSTRUCTION COMPANY, L.L.C.	908 W Napoleon St ,Sulphur	name 'url' is not defined
1041316	ANGELO BROCATO ICE CREAM AND CONFECTIONERY, INC.	214 North Carrollton Ave ,New Orleans	name 'url' is not defined
1041317	ANIMAL EMERGENCY CLINIC AND INTENSIVE CARE FACILITY, LLC	2421 Line Ave Ste B ,Shreveport	name 'url' is not defined
1041325	ANU WORKS INC	5909 Highway 14 East ,Iowa	name 'url' is not defined
1041327	APARICIO WALKER AND SEELING, INC.	4501 W. Napoleon Avenue ,Metairie	name 'url' is not defined
1041328	APEX INNOVATIONS LLC	3909 Ambassador Caffery Pkwy Ste K ,Lafayette	name 'url' is not defined
1041329	APEX WATERPROOFING OF LOUISIANA LLC	1508 Edwards Ave Ste Mm ,Harahan	name 'url' is not defined
1041330	APP INC	1900 Lafayette St ,Gretna	name 'url' is not defined
1041331	APPLE GUERIN COMPANY LLC	6421 Perkins Rd Bldg A Ste 1B ,Baton Rouge	name 'url' is not defined
1041333	APPLIED CONTROL CONCEPTS	Po Box 1695 ,Scott	name 'url' is not defined
1041335	APPLIED TECHNICAL SYSTEMS INC	849 King Place, ,Shreveport	name 'url' is not defined
1041338	AQUACULTURE SYSTEMS TECHNOLOGIES, LLC	2120 North 3Rd Street ,Baton Rouge	name 'url' is not defined
1041339	ARABI SLING AND RIGGING CO., INC	1504 Mehle Street ,Arabi	name 'url' is not defined
1041344	ARCHWAY APOTHECARY, L.L.C.	2190 Manton Dr ,Covington	name 'url' is not defined
1041353	ARK-LA-TEX ORAL & MAXILLOFACIAL SURGERY, (A PARTNERSHIP OF P	7600 Fern Avenue, Building 1400 ,Shreveport	name 'url' is not defined
1041357	ARMOUR LAW FIRM, LLC	1744 Jackson St ,Alexandria	name 'url' is not defined
1041358	ARMSTRONG RELOCATION COMPANY, LOUISIANA, LLC	12202 South Choctaw ,Baton Rouge	name 'url' is not defined
1041360	ARMSTRONG'S SUPPLY CO., INC.	3600 Orleans Ave ,New Orleans	name 'url' is not defined
1041368	ASCENSION CATHOLIC INTERPAROCHIAL SCHOOL, INC	311 Saint Vincent St ,Donaldsonville	name 'url' is not defined
