Id	Company_Name	Address	Title	URL	Result
1040548	ST EDWARD THE CONFESSOR CHURCH	4901 W Metairie Ave ,Metairie	St. Edward the Confessor Parish - Metairie, LA	https://steddy.org/	St. Edward the Confessor Church is a unified Roman Catholic community of believers committed to Jesus Christ and His Mission. Our Community fosters a spirit of Christian charity, justice and peace ... 4921 W. Metairie Ave., Metairie, LA 70001 | Phone: 504-888-0703 | Fax: 504-455-5443 ...
1040549	ST JOHN THE EVANGELIST INTERPAROCHIAL SCHOOL INC	24250 Regina Street ,Plaquemine	St. John School	https://www.stjohnschool.org/	Elementary/Middle School Office. (225) 687-6616. High School Office. (225) 687-3056. Welcome to St. John School! St. John Interparochial School provides a disciplined, nurturing environment guided by Catholic values, where students grow through rigorous academic experiences, faith and moral formation, and opportunities for service and leadership.
1040552	ST MARY'S ACADEMY OF THE HOLLY FAMILY	6905 Chef Menteur Highway ,New Orleans	St. Mary's Academy - New Orleans, LA	https://smaneworleans.com/	St. Mary's Academy of New Orleans, Louisiana, admits students of any race, color, national, and ethnic origin to all the rights, privileges, programs and activities generally accorded or made available to students at the school. ... 6905 Chef Menteur Blvd. New Orleans, LA 70126 Phone: 504-245-0200. Join Our School. Admissions Tours & Open ...
1040556	ST PIUS X CHURCH &#X26; SCHOOL	6666 Spanish Fort Blvd ,New Orleans	St. Pius X - New Orleans, LA	https://www.stpiusxnola.org/	PIUS X CATHOLIC CHURCH 6666 Spanish Fort Blvd, New Orleans, LA (504) 282-3332. ST. PIUS X CATHOLIC SCHOOL 6600 Spanish Fort Blvd, New Orleans, LA (504) 282-2811 ...
1040557	ST RITA SCHOOL	194 Ravan Ave ,Harahan	St. Rita, New Orleans - New Orleans, LA	https://school.stritaharahan.com/	St. Rita Fall Fest. Fall Fest Videos. Fall Fest Archives. Fall Fest Shirt forms. Organizations. ... St. Rita School celebrates the Catholic tradition, promotes Gospel values, and calls students to love and serve God and others. ... and enriched learning environment. St. Rita Catholic Church | 194 Ravan Avenue, Harahan, LA | (504) 737-0744, Ext ...
1040562	ST. ANN NATIONAL CHURCH AND SHRINE	3601 Transcontinental Dr. ,Metairie	St. Ann Church and National Shrine - Metairie, LA	https://stannchurchandshrine.org/	Home to the National Shrine of St. Ann, we are committed to providing opportunities to all for worship and service, evangelization and education, stewardship and ministry. ... Church: 3601 Transcontinental Drive Office: 4940 Meadowdale Street Metairie, LA 70006 Phone: 504-455-7071 Email: [email protected] Office Hours: Monday - Friday 9 a.m ...
1040563	ST. ANTHONY'S GARDENS	601 Holy Trinity Dr ,Covington	St. Anthony's Gardens Senior Living - CommCare Corporation	https://commcare.com/location/st-anthonys-gardens-senior-living/	Welcome to St. Anthony's Gardens, a resort-style community with luxury-level amenities. ... 601 Holy Trinity Drive Covington, LA 70471 Phone: (985) 605-5950 Visit Location Page Continue Reading. View The Full CommCare Blog View St. Anthony's Gardens Category Photo Gallery. Floor Plans ...
1040568	ST. CLEMENT OF ROME ROMAN CATHOLIC CHURCH	4317 Richland Avenue ,Metairie	St. Clement of Rome - Metairie, LA	https://scrparish.org/	St. Clement of Rome Parish Metairie Louisiana. Home. I'm New. Pastor's Welcome. Meet Our Staff; Become a Parishioner ... Come out and show your support and deepen your faith! July 17th, In the Church, at 7pm! Read More; St. Clement of Rome Married Couples Retreat. ... St. Clement of Rome Parish 4317 Richland Avenue | Metairie, LA 70002 Ph: 504. ...
1040569	ST. DOMINIC'S ROMAN CATHOLIC CHURCH, NEW ORLEANS, LOUISIANA	6326 Memphis St ,New Orleans	St. Dominic Parish - New Orleans, LA	https://www.stdominicparish.com/	St. Dominic Parish. 775 Harrison Avenue, New Orleans, LA 70124 Office: (504) 482-4156 | Fax: (504) 488-0906 School: (504) 482-4123
1040573	ST. GENEVIVE HEALTH CARE SERVICES, INC.	6009 Financial Plaza Suite 101 ,Shreveport	Contact Us - St. Genevive Health Care Services Inc.	https://stgenevive.com/contact-us/	Our Locations 6009 Financial Plaza, #101 Shreveport, LA 71129 (318) 221-2566 1-866-247-3500 info@stgenevive.com 3740 Government Street, Alexandria, LA 71302 (318) 443-4141 1-844-443-4141 info@stgenevive.com BUSINESS HOURS Mon - Fri 8:30 - 4:30 Closed Sat/Sun info@stgenevive.com facebook google-plus twitter instagram
1040575	ST. JAMES EPISCOPAL DAY SCHOOL OF BATON ROUGE, LOUISIANA	445 Convention Street ,Baton Rouge	St. James Episcopal Day School | Private School in Baton Rouge	https://stjameseds.org/	St. James Episcopal Day School provides your child a rich learning environment grounded in a seven-decade long legacy of academic excellence and steeped in the Episcopalian faith right in the heart of Baton Rouge's historic Downtown. ... 445 Convention St. Baton Rouge, LA 70802 (225) 344-0805.
1040577	ST. JUDE SCHOOL	9150 Highland Rd ,Baton Rouge	St. Jude the Apostle School | Catholic School in Baton Rouge	https://stjudebr.org/	Resources for Parents. St. Jude the Apostle School is your choice Catholic pre-K, elementary, and middle school in Baton Rouge. Begin the enrollment process with us today!
1040585	ST. SCHOLASTICA ACADEMY	122 S Massachusetts St ,Covington	School Profile - ssacad.org	https://www.ssacad.org/about/school-profile	Find out more about St. Scholastica Academy. About About School Profile Our History Who We Are ... college preparatory high school located forty miles north of New Orleans in the city of Covington. ... 122 South Massachusetts St. Covington, Louisiana 70433. tel: 985-892-2540 | fax: 985-893-5256.
1040586	ST. THOMAS MORE SCHOOL	11400 Sherbrook Dr ,Baton Rouge	St. Thomas More Catholic Church and School	https://www.stmbr.org/	St. Thomas More Catholic Church and School provides spiritual guidance and education in Baton Rouge, LA. Find out more about STM as a thriving faith community. About News. GIVING. STM CHURCH. School. ... 11400 Sherbrook Dr. Baton Rouge, LA 70815 225-275-2820 Fax: 225-275-0376
1040590	STAINES & EPPLING, APLC	3500 N Causeway Blvd Ste 820 ,Metairie	Metairie Business And Insurance Defense Lawyers | Staines, Eppling ...	https://www.seklaw.com/	Staines, Eppling & Kenney, LLC in Metairie — a greater New Orleans-area firm focused on advocating for the interests of insurers and businesses. Call 504-838-0019. ... 3500 North Causeway Blvd. Suite 820 Metairie, LA 70002. Phone: 504-838-0019. Fax: 504-838-0043. Metairie Law Office
1040591	STANLEY REUTER ROSS THORNTON & ALFORD, LLC	909 Poydras Street Ste 2500 ,New Orleans	Stanley Reuter Thornton Alford LLC | New Orleans Litigation Firm	https://www.stanleyreuter.com/	Stanley Reuter Thornton Alford is an elite complex litigation firm based in New Orleans. Our practice focuses on commercial litigation and on ethics and disciplinary matters. ... 909 Poydras Street, Suite 2500 New Orleans, Louisiana 70112 (504) 523-1580 hello@stanleyreuter.com. Contact Us. Material presented on the Stanley Reuter Thornton ...
1040593	STARR TEXTILE SERVICES OF LOUISIANA, L.L	312 Time Saver Ave ,New Orleans	Starr Textile Services Celebrates Grand Opening of New Plant	https://americanlaundrynews.com/articles/starr-textile-services-celebrates-grand-opening-new-plant	ELMWOOD, La. — Starr Textile Services has recently opened the doors to its new 70,000-square-foot facility located here at 312 Time Saver Ave., in Jefferson Parish, the company reports.. The expansion allows Starr to double its capacity and service 5,000 hotel rooms on a single shift, with room for growth, the company says, adding that the new plant has the capacity to process more than ...
1040596	STC ADDICTION WELLNESS CENTER, INC.	150 Cora Dr ,Baton Rouge	STC Addiction Wellness Center, Inc, Treatment Center, Baton Rouge, LA ...	https://www.psychologytoday.com/us/treatment-rehab/stc-addiction-wellness-center-inc-baton-rouge-la/306679	Clarke Stiltner - STC Addiction Wellness Center, Inc, Treatment Center, Baton Rouge, LA, 70815, (225) 258-2675, St. Christopher's is the national leader in co-occurring treatment for men, ages 17 ...
1040600	STERLING AUTOMOTIVE WEST, LLC	414 W Fred Ruth Zigler Meml Dr St ,Jennings	Sterling Automotive West - Jennings, LA | Cars.com	https://www.cars.com/dealers/147765/sterling-automotive-west/	Sterling Automotive West. 4.4 (11 reviews) 414 W Fred & Ruth Zigler Memorial Dr Jennings, LA 70546.
1040601	STERLING FORD LINCOLN, LLC	5524 I 49 N Service Rd ,Opelousas	New Ford & Used Car Dealer in Opelousas LA | Sterling Ford	https://www.sterlingfordopelousas.com/	5524 I-49 North Service Road Directions Opelousas, LA 70570. Sales: (337) 942-2686; Service: (337) 942-2686; Parts ... You should take the short drive and visit the team at Sterling Ford, located at 5524 I-49 North Service Road in Opelousas, LA. ... Toyota, Jeep, Lincoln, Nissan, and Kia. We are always looking to bolster our pre-owned inventory ...
1040607	STOCKWELL, SIEVERT, VICCELLIO, CLEMENTS, AND SHADDOCK, LLP	127 W. Broad St ,Lake Charles	Lake Charles Law Firm | Stockwell, Sievert, Viccellio, Clements ...	http://www.ssvcs.com/	Schedule an appointment with an accomplished Louisiana lawyer regarding your issue. Stockwell, Sievert, Viccellio, Clements & Shaddock, L.L.P. represents clients in a wide range of Louisiana legal matters. To set up an appointment, please call 337-436-9491 or contact us online . Our office is in the Chase Building in downtown Lake Charles.
1040610	STONE INSURANCE INC	111 Veterans Memorial Blvd Ste 1420 ,Metairie	Contact Our Metairie, Louisiana Office | Stone Insurance	https://www.stoneinsurance.com/locations/metairie-louisiana/	Contact Stone Insurance at their Metairie Office for a fast convenient insurance quote on home, auto, watercraft, parade, and business insurance. ... Stone Insurance; 111 Veterans Blvd Suite 1530 Metairie, Louisiana 70005 Phone: (504) 832-4161; Office Hours: Mon-Fri: 8:30am-4:30pm;
1040613	STONETRUST COMMERCIAL INSURANCE COMPANY	5615 Corporate Blvd Suite 700 ,Baton Rouge	Contact Us | Stonetrust Workers' Compensation	https://stonetrustinsurance.com/contact-us/	5615 Corporate Blvd. Suite 800. Baton Rouge, LA 70808. Toll Free: (800) 311-0997. Local: (225) 923-1050. Toll Free Fax: (866) 923-1871. Get In Touch Today! If you're looking to tap into our workers' compensation expertise and put our reliability to work for you, please get in touch. Contact us.
1040615	STRANCO SOLID WASTE MGMT CO LLC	70459 Highway 59 ,Abita Springs	Stranco Solid Waste Management | Dumpster Rentals and More	https://strancosolidwaste.com/	Stranco Solid Waste Management Co.LLC provides reliable and economical St. Tammany construction debris and roll-off services for residential, industrial and (985) 893-5308 Facebook
1040616	STRANCO, L.L.C.	70459 Highway 59 ,Abita Springs	Stranco Solid Waste Management | Dumpster Rentals and More	https://strancosolidwaste.com/	Stranco Solid Waste Management Co.LLC provides reliable and economical St. Tammany construction debris and roll-off services for residential, industrial and ... La, Stranco Solid Waste Management Co., LLC operates a second solid waste transfer station also located in Abita Springs, La and has extended its business venture to include operating ...
1040618	STRIC-LAN COMPANIES, L.L.C.	104 Sable Dr ,Duson	Contact Us - Stric-Lan Companies, LLC	https://www.striclan.com/contact/	Stric-Lan Companies, LLC provides customized flowback, well test and pipeline service solutions to optimize your production. Contact us today. Home; About Us; Services. ... 104 Sable Street Duson, LA 70529 Appalachia Services. Bulger, PA 2020 Candor Road Bulger, PA 15019. E-mail Us. Flowback & Well Testing.
1040620	STUART & COMPANY GENERAL CONTRACTORS, LLC	4320 S Jeffrey Dr ,Baton Rouge	Stuart & Co General Contractors - Process, Precision, Perseverance. A ...	https://stuartandcompany.com/	Buildings get built every day. Few are completed with the same efficient process, attention to detail and dedication to quality that comes from Stuart & Company General Contractors. In a world that thrives on making things difficult, we strive for solutions that make the process easier for everyone involved.
1040626	SULLIVAN PROCESS CONTROLS LLC	450 Covington Rd ,Haughton	Sullivan Process Controls	https://www.sullivanprocesscontrols.com/	Sullivan Process Controls offers exceptional quality, superior reliability, quick deliveries, and competitive pricing. ... why choose Sullivan Process Controls. Best choice in Control Valves and Process Instrumentation. Industry leading customer service and support. Top quality products. ... Sullivan Process Controls. 450 Covington Rd. Haughton ...
1040631	SUMMIT APARTMENT MANAGEMENT COMPANY INC	2105 Rue Simone ,Hammond	SUMMIT APARTMENT MANAGEMENT - Updated June 2024 - 2105 Rue Simone ...	https://www.yelp.com/biz/summit-apartment-management-hammond	2105 Rue Simone Hammond, LA 70403. Suggest an edit. Other Property Management Nearby. Find more Property Management near Summit Apartment Management. People Also Viewed. Prudential Properties Unlimited. 0. Property Management. Alpha Realty. 0. Property Management. Real Estate Resource Group, LLC. 1.
1040632	SUN DRILLING PRODUCTS CORPORATION	503 Main Street ,Belle Chasse	Sun Drilling Products Corporation Company Profile | Belle Chasse, LA ...	https://www.dnb.com/business-directory/company-profiles.sun_drilling_products_corporation.3360329f66439fa7a669e8d5e3d55af9.html	Address: 503 Main St Belle Chasse, LA, 70037-2729 United States See other locations Phone: ? Website: www.sunspecialtyproducts.com
1040635	SUNRISE HEALTHCARE MANAGEMENT CO, LLC	10606 Timberlake Ave ,Baton Rouge	Sunrise Healthcare Management - Behavioral Health Programs	https://www.sunrisehealthcare.net/	Sunrise Healthcare Management programs are unique in the flexibility they provide to staff your unit. ... WELCOME TO SUNRISE HEALTHCARE. Headquartered in Baton Rouge, Louisiana, our experienced team of professionals is dedicated to ... Sunrise Healthcare Management Company, LLC 10606 Timberlake Avenue Baton Rouge, LA 70810 Phone: 225-769-6933 ...
1040640	SUPERIOR OFFICE PRODUCTS INC	533 Highlandia Dr Ste C ,Baton Rouge	Contact Us - Superior Office Products	https://superiorbr.com/contact-us/	Contact Us - Superior Office Products. Contact us by email, phone, fax, or in person for those in Baton Rouge.
1040643	SUPERIOR SERVICE CO., INC.	1599 Old Spanish Trail ,Cade	About Us | Superior Service Co.	https://www.superiorserviceco.com/about-us/	Superior Service has been providing high-quality construction, fabrication, and maintenance services to industrial clients for over 40 years. ... As a customer-driven company, we put great emphasis on forming successful partnerships with our clients. We strive to build long-term relationships by working closely with clients throughout the ...
1040644	SUPERIOR SHIPYARD AND FABRICAT	20987 Highway 1 ,Golden Meadow	Superior Shipyard & Fabrication, Inc. | Golden Meadow LA - Facebook	https://www.facebook.com/people/Superior-Shipyard-Fabrication-Inc/100068325036454/	Superior Shipyard & Fabrication, Inc., Golden Meadow, Louisiana. 468 likes · 2 talking about this · 396 were here. We serve the marine industry using our topside yards, travel lift, and floating...
1040648	SUPREME HOME HEALTH SERVICE INC	1110 Jackson St ,Monroe	Supreme Home Health Services, Inc.	http://supremehomehealth.com/	Supreme Home Health Services is family owned and operated! We welcome new patients! ... Certified for Medicare, Medicaid, VA and other Private insurance. Postal address: 1110 Jackson Street, Monroe, LA - 71210 P.O. - Box: 3145 - Monroe, LA - 71210
1040649	SUPREME IMPORTS, LLC	1415 Morrison Blvd ,Hammond	Supreme Toyota, New & Used Toyota Dealership in Hammond, LA, Serving ...	https://www.supremetoyota.com/	Visit Supreme Toyota in Hammond, LA, serving Ponchatoula, Covington, and Mandeville, to shop for new and used Toyota vehicles. Supreme Toyota; Sales 877-840-7756; Service 888-903-3074; Parts 888-903-3621; 1415 S. Morrison Blvd ... Stop by the dealership located at 1415 S Morrison Blvd., Hammond, LA, for your test drive. We can't wait to see ...
1040665	TADLOCK PIPE & RENTALS, LLC	6844 Highway 90 ,Lake Charles	Tadlock Pipe | Tadlock Pipe	https://tadlockpipe.com/	Pipe Quote. Tadlock Pipe & Rentals, LLC. is one of the South's largest reconditioning plants for oilfield tubing, casing, and drill pipe. After over 35 years of operation, Tadlock has expanded its services to offer full line of rental products including tu... Continue Reading.
1040674	TASCH, LLC	1509 Bridge City Ave ,Bridge City	Business Profile for Tasch, LLC - Better Business Bureau	https://www.bbb.org/us/la/bridge-city/profile/construction-services/tasch-llc-0985-90011981	Contact Information. 1509 Bridge City Ave. Bridge City, LA 70094. Email this Business. (504) 512-1432.
1040683	TECHNOLOGY ASSOCIATES, INC.	2021 Lakeshore Dr Ste 414 ,New Orleans	Technology Associates - Overview, News & Similar companies - ZoomInfo	https://www.zoominfo.com/c/technology-associates-inc/351603852	Technology Associates's headquarters are located at 2021 Lakeshore Dr Ste 414, New Orleans, Louisiana, 70122, United States What is Technology Associates's official website? ... Technology Associates Inc is a company that operates in the Civil Engineering industry. It employs 101-250 people and has $1M-$5M of revenue.
1040687	TERMINIX PEST CONTROL INC.	6610 W Main St. ,Houma	Terminix Houma Pests Termite - Pest Control Service in Houma, LA	https://terminix-houma.com/	Terminix ® Pest Control Protecting what matters most. Since 1972, Terminix of Houma has provided south Louisiana homeowners and businesses alike with professional pest control services. ... 6610 W Main St. Houma, LA 70360. Mailing Address: PO Box 6001 Houma, Louisiana 70361-6001. Answering Service and On-Call Personnel Available 24/7 Phone ...
1040698	THE BETA GROUP ENGINEERING & CONSTRUCTION	1428 1/2 Claire Avenue ,Gretna	Contact - The Beta Group	https://betagroupgc.com/contact-us/	Teaming Information Roy Glapion rglapion@betagroupgc.com Geotechnical Proposal Alex Jaramillo, P.E. alexj@betagroupgc.com Materials Testing Proposal Steve McCann smccann@betagroupgc.com Accounts Receiveable/Payable Bridgette Sarduy bsarduy@betagroupgc.com Office Locations Gretna Office P.O. Box 2203 Gretna, LA 70054 Physical: 1428 1/2 Claire Avenue Gretna, LA 70053 Phone: 504.227.2273 Fax: 504 ...
1040700	THE BROUSSARD GROUP, L.L.C.	127 W. Broad Street, Suite 800 ,Lake Charles	Contact Us - The Broussard Group	https://thebroussardgroup.com/contact-us/	The Broussard Group 127 W. Broad St. Suite 800 Lake Charles LA 70601. Contact Info. Phone: 337.439.6600. Fax: 337.439.6647. Phone: 337.439.6600. Fax: 337.439. ... Linkedin-in. The Broussard Group has got you covered. The Broussard Group has over 40 years of experience assisting skilled nursing facilities, senior care providers, non-retail ...
1040704	THE CONGREGATION OF ST. GENEVIEVE CATHOLIC CHURCH, THIBODAUX	815 Barbier Ave ,Thibodaux	St Genevieve - Thibodaux, LA	https://stgenevievechurch.com/	St. Genevieve Catholic Church ♦ 815 Barbier Avenue ♦ Thibodaux, LA 70301 ♦ 985-446-5571 Email: [email protected]
1040712	THE FAMILY DOCTOR CLINIC OF THIBODAUX AMC	804 S Acadia Rd ,Thibodaux	Contact Us - Family Doctor Clinic	https://familydoctorclinic.com/contact/	At Family Doctor Clinic, we provide compassionate and comprehensive care for patients of all ages. Trust our experienced team for your family's healthcare needs. Book an appointment today at (985) 493-2853 ... 804 S. Acadia Road Thibodaux, LA 70301. Phone: ...
1040714	THE FORTIS COMPANY, LLC	107 Spring St ,Shreveport	107 N. SPRING ST. | Commercial Office Space For Lease	https://www.thefortiscompany.com/107-spring-st/	Commercial Office Space for Lease in North Downtown Shreveport. Lease: $3,300 (triple net) | 8,000 SF. Property Address: 107 N. Spring St. Shreveport, LA 71101
1040715	THE FRANCIS SOUTHERN TABLE AND BAR LLC	6747 Us Highway 61 ,Saint Francisville	The Francis Southern Table & Bar - Yelp	https://www.yelp.com/biz/the-francis-southern-table-and-bar-saint-francisville	THE FRANCIS SOUTHERN TABLE & BAR, 6747 Hwy 61, Saint Francisville, LA 70775, 338 Photos, Mon - 11:00 am - 10:00 pm, Tue - 11:00 am - 10:00 pm, Wed - 11:00 am - 10:00 pm, Thu - 11:00 am - 10:00 pm, Fri - 11:00 am - 11:00 pm, Sat - 11:00 am - 11:00 pm, Sun - 11:00 am - 10:00 pm ... while these serve staff was assisting other people and noticed ...
1040720	THE LITTLE RED SCHOOLHOUSE OF METAIRIE, INC	2055 Metairie Rd ,Metairie	Little Red Schoolhouse of Metairie - A Family Legacy of 50 Years Strong	https://lrshofmetairie.com/	(504) 838-7979 2055 Metairie Rd. Metairie, LA 70005. Little Red Schoolhouse of Metairie. ... Little Red Schoolhouse of Metairie A Family Legacy of 50 Years Strong OUR STORY. Since 1974, we have provided young children with a nurturing, creative environment to learn and have fun. ... The Little Red Schoolhouse
1040722	THE LOUISIANA ASSOCIATION FOR THE BLIND	1750 Claiborne Ave ,Shreveport	Services - Louisiana Association for the Blind	https://www.lablind.com/visionservices	Assistive technology is a gateway to personal and professional independence for those who are visually impaired, blind, or deaf-blind. Our AT program provides a variety of services, such as assessments, training, and AT/IT integration assistance to employers. Assistive devices paired with instruction and training from our staff allow clients to ...
1040726	THE MIGUES DELOACH COMPANY LLC	2712 Davis Dr ,Pineville	Home | Migues Deloach Company	https://www.miguesdeloach.com/	The Migues Deloach Company performs Astec Piping, along with commercial, industrial, and institutional general contracting. Site Name 2712 Davis Drive, Pineville, Louisiana, 71360
1040731	THE NEWTRON GROUP, L.L.C.	8183 W El Cajon Dr 0.0 ,Baton Rouge	Contact - The Newtron Group	https://thenewtrongroup.com/contact/	The Newtron Group 8183 W. El Cajon Drive, Baton Rouge, LA 70815. Email Us. SATELLITE AND SPECIALTY SERVICE LOCATIONS. CONSTRUCTION & MAINTENANCE Triad Electric & Controls. National Office 8183 W. El Cajon Baton Rouge, LA 70815 225-927-8921 Directions. Baton Rouge, LA Office 2288 N. Airway Drive Baton Rouge, LA 70815 225-923-0604 Directions.
1040734	THE PLANT GALLERY, INC.	9401 Airline Hwy ,New Orleans	The Plant Gallery - New Orleans and Metairie, Louisiana	https://theplantgallery.com/	The Plant Gallery 9401 Airline Highway New Orleans, LA 70118 (504) 488-8887 Email Us Mon - Sun: 9am - 5pm Order Floral; ... to leave a review today. Visit our Store! TPG - The Plant Gallery offers premier horticultural services in Greater New Orleans, including residential and commercial landscaping, lawn care and maintenance, floral ...
1040739	THE ROMAN CATHOLIC CHURCH OF THE ARCHDIOCESE OF NEW ORLEANS	5501 Westbank Expy. ,Marrero	Archdiocese of New Orleans - New Orleans, LA	https://arch-no.org/	NOLACatholic eNews NowGet the latest in Catholic news delivered to your inbox every week!_self. "It is our solemn duty as Catholics to be conscious of our duty to America, and to preserve its freedom by preserving its faith in God.". - Venerable Fulton Sheen. . Catholic SchoolsFind the Catholic school for your family.
